year,month,ordinal,collectDate,picID,individualID,sex,SLmm,AFLmm,BW_fol,gonadW,GSI
2004,3,79,2004/3/20,12,11,m,22.66623707,3.641918103,0.17623,0.00056,0.317766555
2004,3,79,2004/3/20,18,17,f,22.93173707,3.45262931,0.20237,0.00604,2.98463211
2004,3,79,2004/3/20,27,26,m,19.9514181,3.394491379,0.11078,0,0
2004,3,79,2004/3/20,34,33,f,23.72325431,3.497232759,0.20068,0.00584,2.910105641
2004,3,79,2004/3/20,44,43,m,22.51556034,3.634943966,0.17393,0.00081,0.465704594
2004,3,79,2004/3/20,53,51,f,20.33532759,1.943698276,0.1261,0.00199,1.578112609
2004,3,79,2004/3/20,64,61,f,24.97691379,3.955426724,0.22996,0.00684,2.974430336
2004,3,79,2004/3/20,74,71,f,25.39443103,3.806590517,0.24896,0.00564,2.265424165
2004,3,79,2004/3/20,145,141,m,22.83755365,3.582103004,0.23145,0.00087,0.375891121
2004,3,79,2004/3/20,148,144,f,22.89699142,3.44572103,0.23203,0.00489,2.107486101
2004,3,79,2004/3/20,229,220,m,22.37754507,3.506158218,0.19235,0.00087,0.452300494
2004,3,79,2004/3/20,231,222,m,22.60409098,3.695391916,0.18061,0.00041,0.227008471
2004,3,79,2004/3/20,241,232,f,22.82036031,3.310117138,0.2046,0.00574,2.805474096
2004,3,79,2004/3/20,246,237,m,25.15520858,4.175888818,0.28215,0.00136,0.482013114
2004,3,79,2004/3/20,253,244,m,24.12180707,3.746463004,0.25452,0.00196,0.770077008
2004,3,79,2004/3/20,255,246,f,24.59141688,3.40148751,0.26846,0.00654,2.436117112
2004,3,79,2004/3/20,265,256,f,29.56929289,4.191141232,0.49644,0.02003,4.034727258
2004,3,79,2004/3/20,268,259,m,22.61717122,3.655103113,0.20289,0.00114,0.561880822
2004,3,79,2004/3/20,283,272,f,23.26580456,3.414988874,0.21787,0.00583,2.675907651
2004,3,79,2004/3/20,298,287,f,24.74437327,3.70878442,0.24861,0.00757,3.04492981
2004,3,79,2004/3/20,301,290,f,23.88002512,3.608962296,0.28942,0.00722,2.494644461
2004,3,79,2004/3/20,319,308,f,25.78302644,3.785665716,0.3053,0.00746,2.443498198
2004,3,79,2004/3/20,323,312,m,22.91231968,3.812979321,0.20756,9.00E-04,0.433609559
2004,3,79,2004/3/20,335,323,f,23.2418238,3.395658749,0.20132,0.00528,2.622690244
2004,3,79,2004/3/20,340,328,m,25.43563687,4.018667494,0.27972,0.00122,0.436150436
2004,3,79,2004/3/20,352,339,f,25.11098104,3.612718671,0.28118,0.00705,2.507290703
2004,3,79,2004/3/20,459,445,f,24.74669582,3.789291373,0.31188,0.00743,2.382326536
2004,3,79,2004/3/20,464,450,m,21.35219908,3.329597803,0.19052,0.00066,0.346420323
2004,3,79,2004/3/20,467,452,f,25.9371007,3.874554468,0.30689,0.00626,2.039818828
2004,4,108,2004/4/18,10,8,m,25.92174315,4.038606252,0.23912,0.00116,0.485112078
2004,4,108,2004/4/18,17,15,f,21.9572289,3.292931766,0.15702,0.0054,3.43905235
2004,4,108,2004/4/18,29,27,m,23.47249154,3.435901609,0.17317,0.00135,0.779580759
2004,4,108,2004/4/18,35,33,f,22.78236645,3.136903889,0.16801,0.00559,3.327182906
2004,4,108,2004/4/18,44,42,f,21.88454066,3.186173733,0.17976,0.00592,3.293279929
2004,4,108,2004/4/18,45,43,m,25.06399891,3.83984487,0.26656,0.00197,0.739045618
2004,4,108,2004/4/18,58,54,m,18.49208122,2.565811627,0.11718,0.00056,0.477897252
2004,4,108,2004/4/18,66,62,f,19.24130296,2.72361459,0.1354,0.00238,1.757754801
2004,4,108,2004/4/18,82,77,m,25.00272868,3.772913001,0.2898,0.00096,0.33126294
2004,4,108,2004/4/18,83,78,f,22.24760114,3.160777884,0.23471,0.00862,3.672617272
2004,4,108,2004/4/18,119,105,m,22.5009139,3.253805237,0.21276,0.00101,0.474713292
2004,4,108,2004/4/18,133,118,f,21.16274181,2.756803181,0.18318,0.0065,3.548422317
2004,4,108,2004/4/18,140,123,m,22.73321379,3.584115144,0.20584,0.00193,0.937621454
2004,4,108,2004/4/18,153,136,f,24.22189256,3.525156764,0.23827,0.00964,4.045830361
2004,4,108,2004/4/18,170,153,f,24.07392363,3.46619314,0.22842,0.01104,4.833201996
2004,4,108,2004/4/18,174,157,m,22.31330939,3.453736959,0.17451,0.00125,0.71629133
2004,4,108,2004/4/18,187,169,f,25.46203776,3.634742307,0.28163,0.01432,5.08468558
2004,4,108,2004/4/18,190,172,m,23.48261432,3.669493739,0.20606,0.00139,0.674560808
2004,4,108,2004/4/18,201,183,f,25.64779743,3.711345564,0.2926,0.01043,3.564593301
